Country Name,Country Code,2016,Total,H1B,H2A,H2B,O1-2,P1-3,L1,EB5,Other,Density(PerMIllion),Normalized - Total,Normalized - H1B,Normalized - H2A,Normalized - H2B,Normalized - O1-2,Normalized - P1-3,Normalized - L1,Normalized - EB5,Normalized - Other,Normalized - Density(PerMIllion)
Afghanistan,AFG,34656032,35,4,-,-,-,-,6,6,19,0.10099252,1.544068044,0.602059991,-,-,-,-,0.77815125,0.77815125,1.278753601,-0.995710792
Algeria,DZA,39871528,465,56,-,-,-,10,82,-,314,1.166245748,2.667452953,1.748188027,-,-,-,1,1.913813852,-,2.496929648,0.066790073
Zimbabwe,ZWE,16150362,641,237,4,-,42,42,166,9,141,3.968951284,2.80685803,2.374748346,0.602059991,-,1.62324929,1.62324929,2.220108088,0.954242509,2.149219113,0.598675768
Zambia,ZMB,16591390,130,50,-,-,1,1,14,3,59,0.783538932,2.113943352,1.698970004,-,-,0,0,1.146128036,0.477121255,1.770852012,-0.10593942
"Yemen, Rep.",YEM,27584213,55,1,-,-,1,-,20,-,26,0.199389412,1.740362689,0,-,-,0,-,1.301029996,-,1.414973348,-0.700297908
Vietnam,VNM,94569072,2321,869,-,-,88,203,346,26,789,2.454290764,3.36567514,2.939019776,-,-,1.944482672,2.307496038,2.539076099,1.414973348,2.897077003,0.389926013
"Venezuela, RB",VEN,31568179,23169,4411,-,1,1898,1,6531,2272,6163,73.39352707,4.36490729,3.644537058,-,0,3.278296208,0,3.814979684,3.356408327,3.789792168,1.865657759
Vanuatu,VUT,270402,17,1,-,-,-,-,-,-,1,6.286935748,1.230448921,0,-,-,-,-,-,-,0,0.798439022
Uzbekistan,UZB,31847900,283,82,-,-,9,30,34,-,128,0.88859862,2.451786436,1.913813852,-,-,0.954242509,1.477121255,1.531478917,-,2.10720997,-0.051294365
Uruguay,URY,3444006,1599,336,1,1,154,41,573,94,362,46.42849054,3.203848464,2.526339277,0,0,2.187520721,1.612783857,2.758154622,1.973127854,2.558708571,1.666784564
United Kingdom,GBR,65595565,168495,13634,85,1349,27656,6530,60701,23607,34933,256.8695002,5.226587018,4.13462329,1.929418926,3.13001195,4.441789367,3.814913181,4.783195846,4.3730408,4.543235884,2.409712541
United Arab Emirates,ARE,9269612,164,61,-,-,1,1,59,-,39,1.76922184,2.214843848,1.785329835,-,-,0,0,1.770852012,-,1.591064607,0.247782292
Ukraine,UKR,45004645,7204,1112,130,636,502,673,1676,191,2284,16.00723659,3.857573704,3.046104787,2.113943352,2.803457116,2.700703717,2.828015064,3.224274014,2.281033367,3.3586961,1.204316364
Uganda,UGA,41487965,677,166,-,1,1,335,48,-,120,1.631798523,2.830588669,2.220108088,-,0,0,2.525044807,1.681241237,-,2.079181246,0.212666536
Turkmenistan,TKM,5662544,43,7,-,-,-,1,13,1,16,0.759375998,1.633468456,0.84509804,-,-,-,0,1.113943352,0,1.204119983,-0.119543134
Turkey,TUR,79512426,9326,2755,-,42,358,35,1465,2769,1902,11.72898435,3.969695411,3.440121603,-,1.62324929,2.553883027,1.544068044,3.165837625,3.442322956,3.279210513,1.069260407
Tunisia,TUN,11403248,383,98,-,-,20,5,83,40,137,3.35869219,2.583198774,1.991226076,-,-,1.301029996,0.698970004,1.919078092,1.602059991,2.136720567,0.526170204
Trinidad and Tobago,TTO,1364962,3263,738,-,-,324,612,847,191,551,239.054274,3.513617074,2.868056362,-,-,2.51054501,2.786751422,2.92788341,2.281033367,2.741151599,2.378496513
Tonga,TON,107122,61,-,-,-,-,-,-,-,61,56.94441851,1.785329835,-,-,-,-,-,-,-,1.785329835,1.755451163
Togo,TGO,7606374,42,29,-,-,-,-,-,-,13,0.552168484,1.62324929,1.462397998,-,-,-,-,-,-,1.113943352,-0.257928385
Timor-Leste,TLS,1268671,1,1,-,-,1,-,1,-,1,0.078822642,0,0,-,-,0,-,0,-,0,-1.103349013
Thailand,THA,68863514,2829,734,23,7,112,108,442,674,729,4.108126112,3.451632947,2.86569606,1.361727836,0.84509804,2.049218023,2.033423755,2.645422269,2.828659897,2.862727528,0.613643767
Tanzania,TZA,55572201,271,136,-,-,24,30,11,-,70,0.48765389,2.432969291,2.133538908,-,-,1.380211242,1.477121255,1.041392685,-,1.84509804,-0.311888307
Tajikistan,TJK,8734951,41,25,-,-,1,-,-,-,1,0.469378706,1.612783857,1.397940009,-,-,0,-,-,-,0,-0.328476616
Syrian Arab Republic,SYR,18430453,192,35,-,-,-,14,30,9,104,1.041754101,2.283301229,1.544068044,-,-,-,1.146128036,1.477121255,0.954242509,2.017033339,0.017765219
Switzerland,CHE,8372413,11083,1148,1,1,1164,266,4129,2011,2362,132.3752185,4.044657333,3.059941888,0,0,3.06595298,2.424881637,3.615844883,3.303412071,3.373279893,2.12180669
Sweden,SWE,9923085,18891,1449,1,1,2872,1608,5625,3038,4285,190.3742636,4.276254948,3.161068385,0,0,3.458184436,3.206286044,3.750122527,3.48258777,3.631950826,2.279608237
Swaziland,SWZ,1343098,45,1,-,-,1,1,19,-,14,3.350462885,1.653212514,0,-,-,0,0,1.278753601,-,1.146128036,0.525104811
Suriname,SUR,558368,63,21,-,-,6,-,-,24,12,11.28288154,1.799340549,1.322219295,-,-,0.77815125,-,-,1.380211242,1.079181246,1.052420028
Sudan,SDN,39578828,59,21,-,-,5,-,1,1,28,0.149069599,1.770852012,1.322219295,-,-,0.698970004,-,0,0,1.447158031,-0.826610918
Sri Lanka,LKA,21203000,1383,531,-,-,19,47,286,47,453,6.522661887,3.14082218,2.725094521,-,-,1.278753601,1.672097858,2.456366033,1.672097858,2.656098202,0.814424867
Spain,ESP,46484533,50749,5996,1,1,3630,1052,14954,14754,10297,109.1739482,4.705427489,3.777861624,0,0,3.559906625,3.02201574,4.174757376,4.168909779,4.012710713,2.038119017
South Sudan,SSD,12230730,7,1,-,-,-,-,-,-,1,0.057232888,0.84509804,0,-,-,-,-,-,-,0,-1.242354339
South Africa,ZAF,56015473,11886,1050,2402,1958,689,451,3068,57,2211,21.21913708,4.075035726,3.021189299,3.380573003,3.291812687,2.838219222,2.654176542,3.486855355,1.755874856,3.344588743,1.326727718
Somalia,SOM,14317996,3,1,-,-,-,-,-,-,1,0.020952653,0.477121255,0,-,-,-,-,-,-,0,-1.678760982
